2019-01-07 21:09:56.466753: I tensorflow/core/common_runtime/process_util.cc:69] Creating new thread pool with default inter op setting: 2. Tune using inter_op_parallelism_threads for best performance.
Training...

batch 33900: train=1.000000 test=1.000000
batch 34000: train=1.000000 test=1.000000
batch 34100: train=1.000000 test=1.000000
batch 34200: train=1.000000 test=0.950000
batch 34300: train=1.000000 test=1.000000
batch 34400: train=1.000000 test=0.950000
batch 34500: train=0.950000 test=1.000000
batch 34600: train=0.950000 test=1.000000
batch 34700: train=1.000000 test=0.900000
batch 34800: train=1.000000 test=0.950000
batch 34900: train=0.950000 test=1.000000
batch 35000: train=1.000000 test=1.000000
batch 35100: train=1.000000 test=1.000000
batch 35200: train=1.000000 test=0.950000
batch 35300: train=1.000000 test=0.850000
batch 35400: train=1.000000 test=0.900000
batch 35500: train=0.950000 test=1.000000
batch 35600: train=1.000000 test=1.000000
batch 35700: train=0.950000 test=1.000000
batch 35800: train=0.900000 test=0.950000
batch 35900: train=0.950000 test=1.000000
batch 36000: train=0.900000 test=0.900000
batch 36100: train=0.950000 test=1.000000
batch 36200: train=1.000000 test=1.000000
batch 36300: train=0.950000 test=1.000000
batch 36400: train=0.950000 test=1.000000
batch 36500: train=1.000000 test=1.000000
batch 36600: train=1.000000 test=1.000000
batch 36700: train=0.950000 test=0.900000
batch 36800: train=0.900000 test=1.000000
batch 36900: train=1.000000 test=0.950000
batch 37000: train=0.950000 test=0.950000
batch 37100: train=0.950000 test=1.000000
batch 37200: train=0.900000 test=0.950000
batch 37300: train=0.950000 test=0.900000
batch 37400: train=1.000000 test=1.000000
batch 37500: train=1.000000 test=0.950000
batch 37600: train=0.950000 test=0.900000
batch 37700: train=0.950000 test=0.850000
batch 37800: train=0.900000 test=1.000000
batch 37900: train=1.000000 test=1.000000
batch 38000: train=1.000000 test=1.000000
batch 38100: train=0.950000 test=0.950000
batch 38200: train=1.000000 test=1.000000
batch 38300: train=1.000000 test=0.900000
batch 38400: train=1.000000 test=0.950000
batch 38500: train=1.000000 test=1.000000
batch 38600: train=1.000000 test=1.000000
batch 38700: train=1.000000 test=0.950000
batch 38800: train=1.000000 test=1.000000
batch 38900: train=0.950000 test=1.000000
batch 39000: train=0.950000 test=1.000000
batch 39100: train=0.950000 test=1.000000
batch 39200: train=0.950000 test=1.000000
batch 39300: train=0.950000 test=0.950000
batch 39400: train=0.900000 test=1.000000
batch 39500: train=1.000000 test=0.950000
batch 39600: train=0.950000 test=0.900000
batch 39700: train=0.950000 test=0.950000
batch 39800: train=1.000000 test=1.000000
batch 39900: train=1.000000 test=1.000000
batch 40000: train=0.950000 test=1.000000
batch 40100: train=0.950000 test=1.000000
batch 40200: train=1.000000 test=1.000000
batch 40300: train=1.000000 test=1.000000
batch 40400: train=0.950000 test=0.950000
batch 40500: train=0.950000 test=0.950000
batch 40600: train=1.000000 test=0.900000
batch 40700: train=1.000000 test=0.950000
batch 40800: train=1.000000 test=1.000000
batch 40900: train=0.950000 test=1.000000
batch 41000: train=0.950000 test=1.000000
batch 41100: train=1.000000 test=1.000000
batch 41200: train=1.000000 test=0.900000
batch 41300: train=1.000000 test=0.950000
batch 41400: train=1.000000 test=1.000000
batch 41500: train=1.000000 test=0.900000
batch 41600: train=0.950000 test=1.000000
batch 41700: train=1.000000 test=1.000000
batch 41800: train=0.900000 test=0.950000
batch 41900: train=0.950000 test=1.000000
batch 42000: train=1.000000 test=0.850000
batch 42100: train=1.000000 test=0.900000
batch 42200: train=1.000000 test=1.000000
batch 42300: train=0.900000 test=1.000000
batch 42400: train=0.950000 test=0.950000
batch 42500: train=0.850000 test=1.000000
batch 42600: train=0.950000 test=1.000000
batch 42700: train=0.850000 test=1.000000
batch 42800: train=1.000000 test=0.950000
batch 42900: train=0.900000 test=0.950000
batch 43000: train=1.000000 test=1.000000
batch 43100: train=1.000000 test=0.900000
batch 43200: train=0.950000 test=0.950000
batch 43300: train=0.950000 test=1.000000
batch 43400: train=1.000000 test=0.950000
batch 43500: train=1.000000 test=1.000000
batch 43600: train=0.950000 test=1.000000
batch 43700: train=1.000000 test=1.000000
batch 43800: train=0.950000 test=1.000000
batch 43900: train=1.000000 test=0.900000
batch 44000: train=0.950000 test=0.950000
batch 44100: train=1.000000 test=1.000000
batch 44200: train=0.900000 test=0.950000
batch 44300: train=1.000000 test=0.950000
batch 44400: train=0.950000 test=0.900000
batch 44500: train=0.950000 test=1.000000
batch 44600: train=1.000000 test=0.950000
batch 44700: train=1.000000 test=0.900000
batch 44800: train=0.950000 test=0.950000
batch 44900: train=1.000000 test=1.000000
batch 45000: train=0.950000 test=0.950000
batch 45100: train=1.000000 test=1.000000
batch 45200: train=1.000000 test=0.900000
batch 45300: train=1.000000 test=1.000000
batch 45400: train=1.000000 test=0.950000
batch 45500: train=1.000000 test=0.850000
batch 45600: train=0.950000 test=1.000000
batch 45700: train=1.000000 test=1.000000
batch 45800: train=1.000000 test=0.950000
batch 45900: train=0.950000 test=0.900000
batch 46000: train=1.000000 test=0.950000
batch 46100: train=1.000000 test=0.950000
batch 46200: train=0.950000 test=0.950000
batch 46300: train=1.000000 test=1.000000
batch 46400: train=1.000000 test=1.000000
batch 46500: train=1.000000 test=0.950000
batch 46600: train=1.000000 test=0.950000
batch 46700: train=1.000000 test=0.850000
batch 46800: train=1.000000 test=0.900000
batch 46900: train=1.000000 test=0.950000
batch 47000: train=1.000000 test=0.950000
batch 47100: train=0.950000 test=0.900000
batch 47200: train=0.950000 test=0.950000
batch 47300: train=1.000000 test=0.850000
batch 47400: train=1.000000 test=1.000000
batch 47500: train=1.000000 test=1.000000
batch 47600: train=0.950000 test=1.000000
batch 47700: train=1.000000 test=1.000000
batch 47800: train=0.950000 test=0.950000
batch 47900: train=0.950000 test=0.950000
batch 48000: train=0.950000 test=1.000000
batch 48100: train=0.950000 test=0.950000
batch 48200: train=1.000000 test=0.950000
batch 48300: train=0.950000 test=1.000000
batch 48400: train=1.000000 test=0.950000
batch 48500: train=1.000000 test=0.950000
batch 48600: train=1.000000 test=0.950000
batch 48700: train=0.950000 test=1.000000
batch 48800: train=1.000000 test=1.000000
batch 48900: train=1.000000 test=0.950000
batch 49000: train=0.950000 test=1.000000
batch 49100: train=1.000000 test=0.900000
batch 49200: train=1.000000 test=1.000000
batch 49300: train=0.950000 test=0.950000
batch 49400: train=0.950000 test=0.850000
batch 49500: train=1.000000 test=1.000000
batch 49600: train=1.000000 test=1.000000
